measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Total cancers,Number,1990,5732669.231646509,5969250.122006087,5485376.900585436
Deaths,Global,Both,All ages,Total cancers,Number,1991,5847499.420252248,6077620.643842711,5580917.83577306
Deaths,Global,Both,All ages,Total cancers,Number,1992,5975017.367156513,6215004.243072999,5725954.142626896
Deaths,Global,Both,All ages,Total cancers,Number,1993,6145257.758894372,6362895.563191954,5896611.429231864
Deaths,Global,Both,All ages,Total cancers,Number,1998,6677682.0908318,6896363.1592697,6421991.395857842
Deaths,Global,Both,All ages,Total cancers,Number,1994,6273589.622701528,6480889.002954109,6025789.04604305
Deaths,Global,Both,All ages,Total cancers,Number,1997,6561416.7644223925,6766525.772360769,6313615.991473299
Deaths,Global,Both,All ages,Total cancers,Number,1995,6379675.909466012,6588419.675276758,6136417.866241484
Deaths,Global,Both,All ages,Total cancers,Number,1996,6466716.260733361,6680070.364484551,6234367.103795262
Deaths,Global,Both,All ages,Total cancers,Number,1999,6831147.751484632,7055600.566614205,6567015.085498857
Deaths,Global,Both,All ages,Total cancers,Number,2000,6974667.0991635,7196788.215791167,6695439.66992624
Deaths,Global,Both,All ages,Total cancers,Number,2002,7224901.532313214,7457958.221290742,6914545.165003972
Deaths,Global,Both,All ages,Total cancers,Number,2001,7086112.969336423,7329457.142234428,6785950.549151981
Deaths,Global,Both,All ages,Total cancers,Number,2005,7621827.76017877,7870940.094080887,7296335.321109701
Deaths,Global,Both,All ages,Total cancers,Number,2004,7473814.069605628,7721023.568168373,7158957.997351105
Deaths,Global,Both,All ages,Total cancers,Number,2006,7689851.353607934,7943737.008150292,7346042.8886971995
Deaths,Global,Both,All ages,Total cancers,Number,2003,7358346.382097651,7609259.023777983,7061668.840449928
Deaths,Global,Both,All ages,Total cancers,Number,2007,7816630.938388996,8064182.191969161,7459744.694726643
Deaths,Global,Both,All ages,Total cancers,Number,2008,7991752.086180196,8267736.3398518935,7619432.45023627
Deaths,Global,Both,All ages,Total cancers,Number,2010,8291116.372579426,8565882.87540965,7894403.987553653
Deaths,Global,Both,All ages,Total cancers,Number,2009,8130986.771845188,8398205.846319033,7743399.796615281
Deaths,Global,Both,All ages,Total cancers,Number,2011,8429031.894925738,8741198.471389309,7998208.462522908
Deaths,Global,Both,All ages,Total cancers,Number,2013,8714463.664100539,9027291.685387684,8254218.769006835
Deaths,Global,Both,All ages,Total cancers,Number,2012,8570657.716891674,8875057.113807501,8161579.204763452
Deaths,Global,Both,All ages,Total cancers,Number,2014,8876040.227346344,9238179.661669372,8424362.777665088
Deaths,Global,Both,All ages,Total cancers,Number,2015,9087732.49923657,9454156.96060661,8594230.206995547
Deaths,Global,Both,All ages,Total cancers,Number,2017,9481040.355644682,9955584.576607015,8917875.63426824
Deaths,Global,Both,All ages,Total cancers,Number,2018,9741907.154948574,10284099.28737853,9088395.976557223
Deaths,Global,Both,All ages,Total cancers,Number,2019,10022803.886709914,10603827.677667692,9359049.84790855
Deaths,Global,Both,All ages,Total cancers,Number,2016,9289559.765389647,9739760.192261778,8752966.991730515
