measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,1990,1198054.0084465146,1454478.1835172223,980428.3001623118
Prevalence,Global,Both,All ages,Ovarian cancer,Number,1990,561475.0754754381,641524.6945007945,514349.8051244872
Prevalence,Global,Both,All ages,Testicular cancer,Number,1990,351396.4582902176,435550.25332137063,258868.51360468354
Prevalence,Global,Both,All ages,Kidney cancer,Number,1990,673841.6385220255,694074.2909396593,653077.2767968511
Prevalence,Global,Both,All ages,Bladder cancer,Number,1990,1119215.69193036,1154296.6220870295,1083013.6039902547
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,1990,423569.26520214044,559067.2754321926,360087.72777718154
Prevalence,Global,Both,All ages,Thyroid cancer,Number,1990,639050.4873356796,671631.8379589664,596165.3699026055
Prevalence,Global,Both,All ages,Esophageal cancer,Number,1990,489194.2339984394,536585.5012214184,388238.28954324714
Prevalence,Global,Both,All ages,Stomach cancer,Number,1990,1469039.9105336487,1537028.1451723468,1397874.8978254143
Prevalence,Global,Both,All ages,Liver cancer,Number,1990,433326.6797537203,482718.79322675534,390104.68956719735
Prevalence,Global,Both,All ages,Larynx cancer,Number,1990,674622.9345010321,705958.7097518148,643800.777392818
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,1385578.692950084,1443422.67034091,1334784.0833149143
Prevalence,Global,Both,All ages,Breast cancer,Number,1990,8600673.23676856,9333561.753679221,7998297.712248117
Prevalence,Global,Both,All ages,Cervical cancer,Number,1990,1538196.4668102132,1779519.8108771169,1390310.948573326
Prevalence,Global,Both,All ages,Uterine cancer,Number,1990,1260384.848871164,1309674.7791518474,1186441.5932482162
Prevalence,Global,Both,All ages,Prostate cancer,Number,1990,3651762.526208705,4216029.763982889,2880851.725082693
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,1990,3984505.2871578885,4120694.1772598005,3847638.351766341
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,1990,637727.8589866476,662459.5628910877,616026.4656680449
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,1990,243481.468980554,262233.3339783835,223234.26899635562
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,1990,77827.77951309405,80510.3030896259,75070.6217456594
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,1990,133723.38501070053,147033.33975453876,119762.86287719794
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,1990,160427.7091880264,165501.93182752063,154234.57996919443
Prevalence,Global,Both,All ages,Esophageal cancer,Number,1991,504357.34399630345,551630.2960000642,397089.0920893028
Prevalence,Global,Both,All ages,Stomach cancer,Number,1991,1491160.7102375068,1562613.4704902505,1424738.0194727734
Prevalence,Global,Both,All ages,Liver cancer,Number,1991,461269.48228868196,502614.7572250557,424029.17750485387
Prevalence,Global,Both,All ages,Larynx cancer,Number,1991,692723.212654301,722553.2150635108,662748.395348689
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1991,1424778.5075882794,1477087.9688549435,1375245.8427416692
Prevalence,Global,Both,All ages,Breast cancer,Number,1991,8838852.657887466,9503260.433546228,8299989.014266375
Prevalence,Global,Both,All ages,Cervical cancer,Number,1991,1557701.8861252458,1781858.9722281657,1411254.2648088445
Prevalence,Global,Both,All ages,Uterine cancer,Number,1991,1291936.5361699066,1340239.5525720965,1217695.5620571023
Prevalence,Global,Both,All ages,Prostate cancer,Number,1991,3858312.568657934,4446582.3388387365,3027629.097663864
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,1991,4138043.1508645853,4261817.540014086,4010650.611956785
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,1991,652634.9725128503,676453.1897768191,628608.4599930246
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,1991,254035.20972648883,272897.35313310666,235078.2058719663
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,1991,81262.86984455533,84093.05915136218,78448.63530142857
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,1991,136015.29889200974,150213.08486197813,121287.51262130289
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,1991,165830.78952474985,170953.4913972573,159581.93550960853
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,1991,1298941.6291767117,1585815.7779784699,1058792.1259936425
Prevalence,Global,Both,All ages,Ovarian cancer,Number,1991,576560.5235629226,651945.0561654719,531559.1848079922
Prevalence,Global,Both,All ages,Testicular cancer,Number,1991,364144.3230818031,448998.48482921335,273563.3141217897
Prevalence,Global,Both,All ages,Kidney cancer,Number,1991,704263.1832155611,724142.9084275304,683657.0345415566
